Data,Glória,Itoupavazinha,Velha Central,Vorstadt,Média Blumenau
01/10/2023-00:00:00,0,0,0,0,0.1
01/10/2023-01:00:00,0,0.2,0,0.2,0.2
01/10/2023-02:00:00,0.4,0.4,0.6,0.6,0.4
01/10/2023-03:00:00,0.2,2.2,0.2,1,0.6
01/10/2023-04:00:00,0.4,0.6,0.2,0.6,0.6
01/10/2023-05:00:00,0.2,0.6,0.6,0.2,0.4
01/10/2023-06:00:00,0,0.6,0.4,0.2,0.3
01/10/2023-07:00:00,0,0.4,0.4,0,0.2
01/10/2023-08:00:00,0,0,0.4,0,0.1
01/10/2023-09:00:00,0,0,0,0,0
01/10/2023-10:00:00,0,0,0,0,0
01/10/2023-11:00:00,0,0,0,0,0
01/10/2023-12:00:00,0.2,0,0,0,0
01/10/2023-13:00:00,0,0,0,0,0
01/10/2023-14:00:00,0,0,0,0,0
01/10/2023-15:00:00,0,0,0,0,0
01/10/2023-16:00:00,0,0,0,0,0
01/10/2023-17:00:00,0,0,0,0,0
01/10/2023-18:00:00,0,0,0,0,0
01/10/2023-19:00:00,0,0,0,0,0
01/10/2023-20:00:00,0,0,0,0,0
01/10/2023-21:00:00,0,0,0,0,0
01/10/2023-22:00:00,0,0,0,0,0
01/10/2023-23:00:00,0,0,0,0,0
02/10/2023-00:00:00,0,0,0,0,0
02/10/2023-01:00:00,0,0,0,0,0
02/10/2023-02:00:00,0,0,0,0,0
02/10/2023-03:00:00,0,0,0,0,0
02/10/2023-04:00:00,0,0,0,0,0
02/10/2023-05:00:00,0,0,0,0,0
02/10/2023-06:00:00,0,0,0,0,0
02/10/2023-07:00:00,0,0,0,0,0
02/10/2023-08:00:00,0,0,0,0,0
02/10/2023-09:00:00,0,0,0,0,0
02/10/2023-10:00:00,0,0,0,0,0
02/10/2023-11:00:00,0,0,0,0,0
02/10/2023-12:00:00,0,0,0,0,0
02/10/2023-13:00:00,0,0,0,0,0
02/10/2023-14:00:00,0,0,0,0,0
02/10/2023-15:00:00,0,0,0,0,0
02/10/2023-16:00:00,0,0,0,0,0
02/10/2023-17:00:00,0,0,0,0,0.1
02/10/2023-18:00:00,0,0,0,0,0
02/10/2023-19:00:00,0,0,0,0,0
02/10/2023-20:00:00,0,0,0,0,0
02/10/2023-21:00:00,0,0,0,0,0
02/10/2023-22:00:00,0,0,0,0,0
02/10/2023-23:00:00,0,0,0,0,0
