id,data,geo,texto
1714194295794598179,2023-10-17 08:19:02,,Today is International Forgive An Ex day! https://t.co/kMBBo9Phfv
1719122102526033993,2023-10-30 22:40:23,,tem q ser muito doente pra querer passar o resto da vida fazendo sexo so com a mesma pessoa
1711553923801116717,2023-10-10 01:27:09,,negócio esse ano é que eu tô com azar no amor e sorte no jogo
1717372720378228971,2023-10-26 02:48:58,,"🔴⚫ Tite começou a perder o jogo qdo tirou Pulgar. Aguentasse ele até os 75, 80 min. 
Jamais poderia tirar Arrasca. Com ele, o time tem um aproveitamento de 67% contra 33% sem ele. O time adversário marca ele em cima.
As mudanças seguintes foram o carimbo das lambanças de Tite."
1718026165133217806,2023-10-27 22:05:31,,"NOTA OFICIAL DO PCO:

ABAIXO A PROVOCAÇÃO SIONISTA-BOLSONARISTA

“Aqueles que nos apelidaram de terroristas fazem-no para mistificar a opinião mundial e impedi-la de ver a realidade, de ver a nossa verdadeira face, que é a da autodefesa e da justiça, esforçam-se para dissimular a sua verdadeira face, que é a do terror e da tirania e negar a situação de legítima defesa que nos encontramos colocados”

- Yasser Arafat, na assembleia-geral da ONU, 13 de novembro de 1974

Na noite desta quarta-feira, um grupo de 27 deputados bolsonaristas, entre eles Carla Zambelli, Nikolas Ferreira e Bia Kicis, protocolou uma notícia de fato junto ao delegado geral da Polícia Civil de São Paulo exigindo a investigação e eventual condenação criminal e prisão de um membro do Comitê Central do Partido da Causa Operária (PCO), o companheiro João Jorge Caproni Costa Pimenta.

Os deputados de extrema-direita alegam que a defesa dos partidos e organizações da resistência armada palestina feita pelo companheiro João Jorge durante um ato público no domingo (22), configura apologia ao crime de terrorismo. A intervenção do companheiro teve uma imensa repercussão nas redes sociais, alcançando mais de um milhão de visualizações na rede social X (ex-Twitter).

Esta não é a primeira ação da extrema-direita, defensora dos genocidas sionistas, contra o nosso partido. Há apenas duas semanas, dois dirigentes estaduais do partido, os companheiros Francisco Muniz e Vinicius Rodrigues, receberam ameaças de morte por parte de anônimos nas redes sociais. Grupos bolsonaristas/sionistas também organizaram ataques hacker para tirar do ar o portal online do Diário Causa Operária. Diversos militantes da causa palestina também sofreram ameaças, como o jornalista petista Breno Altman.

Diante do retumbante fracasso das tentativas de militantes de extrema-direita de intimidar os companheiros com ameaças de violência física, os bolsonaristas viram a necessidade de incitar o Estado burguês contra nós, pedindo que a polícia lance uma ofensiva contra o partido.

Vemos aqui uma flagrante contradição da extrema-direita: após passar quatro anos protestando diante da ação truculenta e ditatorial do Supremo Tribunal Federal (STF) contra a liberdade de expressão, os bolsonaristas, hoje na oposição, fazem o mesmo que Alexandre de Moraes, tentando censurar o PCO e todo movimento de defesa da Palestina. Alexandre de Moraes e a extrema-direita brasileira se merecem; são dois lados da mesma moeda, ambos hipócritas e oportunistas profissionais. Fica definitivamente estabelecido que a autopropaganda da extrema-direita de que ela seria a defensora da liberdade de expressão, é uma farsa. É vergonhoso que parte expressiva da esquerda pequeno-burguesa tenha identificado a defesa desse direito fundamental com a extrema-direita e abandonado essa reivindicação tradicional do movimento operário.

Anos atrás, o finado ideólogo da extrema-direita, Olavo de Carvalho, declarava que a defesa da liberdade de expressão feita pelo PCO não era uma posição de princípio. Hoje, parte de seus seguidores provam exatamente o contrário. Além de uma completa falta de princípios, os líderes parlamentares da direita mostram ainda que se tiverem a chance serão tão truculentos quanto o STF que eles tanto dizem odiar. O PCO é a única força política organizada que defende de fato a liberdade de expressão sem nenhuma ressalva. Esta é uma conclusão acima de qualquer dúvida.

A burguesia, particularmente a extrema-direita, sempre gostou de tachar os seus inimigos de terroristas e apoiadores do terrorismo. Foi assim com os grupos armados que enfrentaram a ditadura militar, é assim com o Hamas e outros grupos que foram para as vias de fato no Oriente Médio, mas não é assim quando se trata deles mesmos.

Quando militantes de extrema-direita incendiaram carros em Brasília ou tentaram plantar bombas no aeroporto da Capital Federal, praticamente nada falaram. Quando os manifestantes bolsonaristas realizaram um quebra-quebra na Praça dos Três Poderes, eles se recusaram a tachá-los de terroristas, como fariam com qualquer outro movimento. Vemos aqui, mais uma vez, a total falta de princípios destes setores políticos e sua total falta de autoridade moral e política para falar em terrorismo.

O que aconteceu em Israel com a realização da Operação Tempestade de Al-Aqsa pelas forças palestinas foi apenas mais um capítulo na guerra travada entre o Estado de Israel e o povo palestino. O que o Hamas fez não pode ser considerado um crime por nenhuma pessoa normal. Trata-se de uma guerra de libertação nacional. O que Israel está fazendo com os palestinos, com os bombardeios na Faixa de Gaza, isso sim é um crime e do pior tipo, o terrorismo de Estado.

O Brasil, assim como a imensa maioria do globo terrestre, não considera o Hamas como organização terrorista, tirando todo e qualquer resquício de validade da acusação bolsonarista, mesmo diante do sistema judicial burguês brasileiro, um dos mais antidemocráticos e fascistas do mundo.

Repetiremos aqui, em nome de toda a direção do PCO, o que foi falado por nossos companheiros: estamos 1000% com o Hamas e com todos os grupos militantes que tomaram o caminho das armas para lutar contra o genocídio sionista e defender a soberania e a liberdade do povo palestino. Dizemos mais: os militantes destas organizações lutam com coragem extraordinária e abnegação contra um inimigo infinitamente mais poderoso, sua atitude é aquela típica de verdadeiros heróis da luta popular.

Engana-se a extrema-direita ao pensar que faremos como a esquerda pequeno-burguesa, que se acovarda diante de ameaças, sejam elas de violência física ou de ação policial. O PCO não se acovardou diante da ditadura militar, do STF, nem da extrema-direita nas ruas. Não será um grupo de arrivistas políticos e parlamentares desclassificados que nos amedrontará. Nosso partido e nossa militância são feitos de um material muito mais duro do que imaginam.

Chamamos toda a esquerda a expressar a sua solidariedade diante deste ataque da extrema-direita e a cerrar fileiras na defesa do heroico e martirizado povo palestino, das organizações que estão no campo de batalha defendendo-o e de todos os camaradas, das mais diversas organizações, que (com apoio da Rede Globo e do “globalismo”) estão sendo perseguidos pelo sionismo-bolsonarismo brasileiro e o imperialismo internacional.

NÃO AO BOMBARDEIO GENOCIDA DA FAIXA DE GAZA

NÃO À OCUPAÇÃO DA FAIXA DE GAZA

ABAIXO A DITADURA FASCISTA DO SIONISMO NA PALESTINA

TODO APOIO À LUTA DE AUTODEFESA DOS PALESTINOS CONTRA O TERROR ESTATAL SIONISTA

FORA O IMPERIALISMO DO ORIENTE MÉDIO E DA AMÉRICA LATINA

NÃO À PERSEGUIÇÃO AO COMPANHEIRO JOÃO JORGE PIMENTA E AO PCO PELO SIONISMO-BOLSONARISMO

EM DEFESA DA LIBERDADE DE EXPRESSÃO IRRESTRITA E DE TODAS AS LIBERDADES DEMOCRÁTICAS

Comissão Executiva do Comitê Central Nacional do Partido da Causa Operária

São Paulo, 27 de outubro 2023"
1717549142170612146,2023-10-26 14:30:00,,What is a collab that will actually break the internet?
1708630538880262272,2023-10-01 23:50:39,"Place(id='63968ec77ab62d12', fullName='Blumenau, Brasil', name='Blumenau', type='city', country='Brazil', countryCode='BR')",A nossa musa   @NicoleBahls quando criança
1708613319555264595,2023-10-01 22:42:14,,Uma mini querida batendo cabelo ao lado de uma drag em restaurante brasileiro. 🥹❤️ https://t.co/goS5GhJnny
1708622668818244036,2023-10-01 23:19:23,"Place(id='76032ced94f075be', fullName='Gaspar, Brasil', name='Gaspar', type='city', country='Brazil', countryCode='BR')",O rolê foi boom 🔥 https://t.co/P4UCgrZ9X6
1708621453535445500,2023-10-01 23:14:33,"Place(id='63968ec77ab62d12', fullName='Blumenau, Brasil', name='Blumenau', type='city', country='Brazil', countryCode='BR')",...
1708619085397807474,2023-10-01 23:05:09,"Place(id='63968ec77ab62d12', fullName='Blumenau, Brasil', name='Blumenau', type='city', country='Brazil', countryCode='BR')",Por mim a Black podia trazer open bar 4 vezes no mesmo mês 😌😝🥇
1708616410635661623,2023-10-01 22:54:31,"Place(id='63968ec77ab62d12', fullName='Blumenau, Brasil', name='Blumenau', type='city', country='Brazil', countryCode='BR')",Com aquele em específico 🤤
1708555593714135156,2023-10-01 18:52:51,,Ficaria assim fácil hoje kkkkk💑🤤 https://t.co/1wOdvQgriU
1708615285882704276,2023-10-01 22:50:03,"Place(id='63968ec77ab62d12', fullName='Blumenau, Brasil', name='Blumenau', type='city', country='Brazil', countryCode='BR')","Como pode uma pessoa agir de tal forma, era desespero? Ou solidão?"
1708614688370544712,2023-10-01 22:47:40,"Place(id='63968ec77ab62d12', fullName='Blumenau, Brasil', name='Blumenau', type='city', country='Brazil', countryCode='BR')",p fechar o domingo era só um sushizinho e um carinho 🫠
